OU,Acronym,Volume,ICMManaged
agr,AAFC,2000,0
acoa-apeca,ACOA,2000,0
cannor,ISC_CANNOR_CIRNAC_INAC,2000,1
cb-cda,ISED,2000,0
cfia-acia,CFIA,2000,1
cic-cic,IRCC,2000,0
cic-extern-cic,IRCC,2000,0
cirnac-rcaanc,ISC_CANNOR_CIRNAC_INAC,2000,1
cnsc-ccsn,CNSC,2000,1
csa-asc,CSA,2000,1
csc-scc,CSC,2000,1
csps-efpc,CSPS,2000,1
dec-ced,CED,2000,1
dfait-maeci,GAC,2000,1
cida-acdi,GAC,2000,1
dfatd-maecd,GAC,2000,1
fac-aec,GAC,2000,1
feddevont,ISED,2000,1
fednor,ISED,2000,1
dfo-mpo,DFO,2000,1
ec-ec,ECCC,2000,1
fin-fin,FIN,2000,1
fintrac-canafe,FINTRAC,2000,1
hc-sc,HC,1000,0
hcc-css,HC,1000,0
hoc-cdc,HoC,2000,0
hrdc-drhc,ESDC,500,0
hrsdc-rhdcc,ESDC,500,0
hrsdc-rhdsc,ESDC,500,0
ic,ISED,2000,0
infc-infc,INFC,2000,1
irb-cisr,IRB,2000,1
inac-ainc,ISC_CANNOR_CIRNAC_INAC,2000,1
isc-sac,ISC_CANNOR_CIRNAC_INAC,2000,1
jus-jus,JUS,2000,1
lac-bac,LAC,500,0
nrc-cnrc,NRC,2000,1
nrcan-rncan,NRCan,2000,1
pca-apc,PC,2000,1
pch-pch,PCH,1150,1
pco-bcp,PCO,600,1
phac-aspc,PHAC,1000,0
pkc-spc,POLAR,2000,1
ppsc-sppc,PPSC,2000,1
ps-sp,PS,2000,1
psc-cfp,PSC,2000,1
pwgsc-tpsgc,PSPC,2000,1
sc-sc,StatCan,2000,1
ssc-spc,SSC,2000,1
tbs-sct,TBS,875,1
tc-tc,TC,2000,1
vac-acc,VAC,2000,1
wd-deo,WD,2000,1
